type,calories,fat
NoCarb,70,1
Carb,120,5
NoCarb,70,1
NoCarb,50,0
Carb,110,2
Carb,110,2
Carb,110,0
Carb,130,2
NoCarb,90,1
NoCarb,90,0
Carb,120,2
Carb,110,2
Carb,120,3
Carb,110,2
Carb,110,1
Carb,110,0
NoCarb,100,0
Carb,110,0
Carb,110,1
Carb,110,3
NoCarb,100,0
Carb,110,0
NoCarb,100,1
NoCarb,100,0
Carb,110,1
Carb,110,0
NoCarb,100,0
Carb,120,2
Carb,120,0
Carb,110,1
NoCarb,100,0
Carb,110,1
NoCarb,100,1
Carb,110,0
Carb,120,3
Carb,120,2
Carb,110,1
Carb,110,0
Carb,110,1
Carb,140,1
Carb,110,1
NoCarb,100,2
Carb,110,1
NoCarb,100,1
Carb,150,3
Carb,150,3
Carb,160,2
NoCarb,100,1
Carb,120,1
Carb,140,2
NoCarb,90,0
Carb,130,2
Carb,120,1
NoCarb,100,0
NoCarb,50,0
NoCarb,50,0
NoCarb,100,1
NoCarb,100,2
Carb,120,1
NoCarb,100,2
NoCarb,90,0
Carb,110,0
Carb,110,0
NoCarb,80,0
NoCarb,90,0
NoCarb,90,0
Carb,110,1
Carb,110,0
NoCarb,90,0
Carb,110,1
Carb,140,1
NoCarb,100,1
Carb,110,1
Carb,110,1
NoCarb,100,1
NoCarb,100,1
Carb,110,1
